Movie Spanish,Movie Name real,mi_info,Year,Runtime,Genre,Rating,Director,Language,Country,sinopsis,plataformas,links_plataformas
¡Qué bello es vivir!,¡Qué bello es vivir!,43,1946,129,"Drama, Familia, Fantasía",8.3,Frank Capra,en,United States of America,"George Bailey es un honrado y modesto ciudadano que dirige y mantiene a flote un pequeño banco familiar, a pesar de los intentos de un poderoso banquero por arruinarlo. El dia de Nochebuena de 1945, abrumado por la repentina desaparición de una importante suma de dinero, que supondría no solo la quiebra de su banco sino también un gran escándalo, decide suicidarse, pero cuando está a punto de hacerlo ocurre algo extraordinario.","Movistar Plus+ Ficción Total , Movistar Plus+, Filmin",https://www.themoviedb.org/movie/1585-it-s-a-wonderful-life/watch?locale=ES
¿Teléfono rojo? volamos hacia moscú,¿Teléfono rojo? Volamos hacia Moscú,74,1964,95,"Comedia, Bélica",8.119,Stanley Kubrick,en,"United Kingdom, United States of America","Convencido de que los comunistas están contaminando los Estados Unidos, un general ordena, en un acceso de locura, un ataque aéreo nuclear sorpresa contra la Unión Soviética. Su ayudante, el capitán Mandrake, trata de encontrar la fórmula para impedir el bombardeo. Por su parte, el presidente de los EE.UU. se pone en contacto con Moscú para convencer al gobierno soviético de que el ataque no es más que un estúpido error. Mientras tanto, el asesor estadounidense, un antiguo científico nazi, el doctor Strangelove, confirma la existencia de la «Máquina del Juicio Final», un dispositivo de represalia soviético capaz de acabar con la humanidad para siempre.","Movistar Plus+ Ficción Total , Movistar Plus+, Filmin",https://www.themoviedb.org/movie/935-dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/watch?locale=ES
10.000 km,10.000 km,,2014,98,"Drama, Romance",6.1,Carlos Marques-Marcet,es,Spain,"¿Amor y distancia son incompatibles? ¿Puede el amor sobrevivir a 10.000 kilómetros de separación? Alexandra y Sergio se quieren. De hecho, están preparados para tener un hijo. Pero todo cambia cuando a ella le ofrecen un contrato durante un año en Los Ángeles. Esta puede ser su última oportunidad para realzar su estancada carrera fotográfica, y acepta. Mientras tanto, Sergio continúa viviendo en Barcelona.",Filmin,https://www.themoviedb.org/movie/253251-10-000-km/watch?locale=ES
100 Nights Of Hero,100 Nights of Hero,LGTB,2025,91,"Fantasía, Romance",6.0,Julia Jackman,en,"United Kingdom, United States of America","Dos mujeres casadas, Cherry y Hero, idean un ingenioso plan para disuadir al lascivo Manfred de seducir a Cherry después de apostar con el esposo de ella. Hero cautiva a Manfred con relatos fascinantes durante cien noches.",,
120 latidos por minuto,120 pulsaciones por minuto,LGTB,2017,142,Drama,7.701,Robin Campillo,fr,France,"París, principios de los años 90. Un grupo de jóvenes activistas intenta generar conciencia sobre el SIDA. Un nuevo miembro del grupo, Nathan, se quedará sorprendido ante la radicalidad y energía de Sean, que gasta su último aliento en la lucha.",Filmin,https://www.themoviedb.org/movie/451945-120-battements-par-minute/watch?locale=ES
16 wishes,16 deseos,hillary duff,2010,90,"Fantasía, Drama, Familia",6.32,Peter DeLuise,en,United States of America,"Ansiosa por hacerse mayor, Abby ha estado planeando su decimosexto cumpleaños desde que era niña y ha mantenido en secreto una lista de deseos que le gustaría que se hiciesen realidad. Cuando el gran día finalmente llega, todo parece salir mal. Pero entonces una misteriosa caja de velas de cumpleaños mágicas llega para cambiar las cosas y los 16 deseos de Abby empiezan a hacerse realidad.",,
28 semanas despues,28 semanas después,zombies,2007,96,"Terror, Suspense, Ciencia ficción",6.607,Juan Carlos Fresnadillo,en,"United Kingdom, Spain, United States of America","Seis meses después de que la propagación del virus haya aniquilado las Islas Británicas, el ejército de los Estados Unidos declara que ha ganado la guerra contra la infección y que puede comenzar la reconstrucción del país. Con la primera ola de refugiados que vuelve al país, una familia consigue reencontrarse. Pero uno de los miembros guarda un terrible secreto sin ser consciente de ello. El virus aún no ha sido destruido y en esta ocasión, es más peligroso que nunca.",Disney Plus,https://www.themoviedb.org/movie/1562-28-weeks-later/watch?locale=ES
300,300,,2007,117,"Acción, Aventura, Bélica",7.2,Zack Snyder,en,United States of America,"Adaptación del cómic de Frank Miller (autor del cómic 'Sin City') sobre la famosa batalla de las Termópilas (480 a.C.). El objetivo de Jerjes, emperador de Persia, era la conquista de Grecia, lo que desencadenó las Guerras Médicas. Dada la gravedad de la situación, el rey Leónidas de Esparta (Gerard Butler) y 300 espartanos se enfrentaron a un ejército persa que era inmensamente superior.","Movistar Plus+ Ficción Total , Movistar Plus+, HBO Max Amazon Channel, HBO Max",https://www.themoviedb.org/movie/1271-300/watch?locale=ES
4th man out,4th Man Out,LGTB,2015,86,"Comedia, Drama",6.857,Andrew Nackman,en,United States of America,Un mecánico de coches en una pequeña localidad de clase obrera sale del armario para sorpresa de sus mejores amigos.,,https://www.themoviedb.org/movie/342672-4th-man-out/watch?locale=ES
8 1/2,El Gato con Botas: El último deseo,102,2022,103,"Animación, Aventura, Fantasía, Comedia, Familia",8.207,Joel Crawford,en,United States of America,El Gato con Botas se embarca en un viaje épico para encontrar al mítico Último Deseo y recuperar sus nueve vidas.,"Netflix Standard with Ads, Netflix",https://www.themoviedb.org/movie/315162-puss-in-boots-the-last-wish/watch?locale=ES
